20 graphs in wdGraphs.txt.

** G1: |V|=5, V={0,1,...4}
(u, v, weight) E = { 
      (35, 27, 16.814)
      (36, 10, 41.858)
      (37, 45, 15.195)
      (37, 48, 63.117)
      (39, 25, 55.794)
      (39, 28, 31.215)
      (39, 41, 88.831)
      (39, 44, 59.726)
      (40,  9,  4.451)
      (40, 37, 17.425)
      (41, 40, 46.661)
      (42, 19, 25.215)
      (45, 30, 35.203)
      (45, 46, 94.877)
      (46, 22, 81.409)
      (46, 43, 54.535)
      (48, 26, 53.480)
      (49, 34, 44.151)
      (50, 10, 99.576)
      (50, 19, 13.072)
      (50, 29, 90.771)
      (51, 54, 71.991)
      (51, 29, 47.600)
      (51, 30, 41.733)
      (51, 35, 75.244)
      (51, 47, 58.105)
      (52, 12,  8.514)
      (53, 29, 21.398)
      (53, 36, 20.655)
      (54, 15, 40.502) }
------------------------- 

** G5: |V|=105, V={0,1,...104}
(u, v, weight) E = { 
      ( 0,  6, 76.886)
      ( 0, 81, 95.198)
      ( 1, 53, 22.207)
      ( 1, 58, 20.607)
      ( 1, 73,  1.898)
      ( 1, 77, 58.679)
      ( 2, 16, 67.051)
      ( 2, 43, 72.673)
      ( 2, 44, 89.720)
      ( 2, 55, 84.196)
      ( 2, 100, 22.552)
      ( 3, 53, 43.120)
      ( 3, 55, 76.220)
      ( 3, 72,  1.854)
      ( 3, 82, 75.010)
      ( 4, 78, 41.328)
      ( 5, 51, 51.868)
      ( 5, 83, 88.075)
      ( 6, 29, 83.255)
      ( 6, 80, 13.975)
      ( 7, 14, 30.809)
      ( 7, 23, 56.008)
      ( 7, 33, 79.108)
      ( 7, 83, 89.653)
      ( 8, 16, 41.679)
      ( 8, 18, 78.620)
      ( 8, 38,  8.698)
      ( 8, 78, 20.207)
      ( 8, 85, 66.241)
      ( 9, 10, 17.631)
      ( 9, 72, 61.770)
      ( 9, 101, 65.406)
      (10, 19,  0.865)
      (10, 34, 20.546)
      (10, 45, 49.984)
      (10, 76, 37.160)
      (10, 91, 85.553)
      (11, 44, 68.073)
      (11, 48, 94.533)
      (11, 49, 74.364)
      (12, 27, 32.167)
      (12, 35, 28.870)
      (12, 79, 77.707)
      (13, 38, 90.305)
      (13, 85, 82.045)
      (14,  8, 89.176)
      (14, 12, 77.857)
      (14, 31, 50.938)
      (14, 35, 44.861)
      (14, 44, 91.780)
      (14, 70, 86.190)
      (15, 43, 94.153)
      (15, 67, 56.566)
      (15, 70, 77.863)
      (16,  7, 89.378)
      (16, 30,  5.527)
      (17, 68, 42.599)
      (17, 70, 49.344)
      (17, 80, 61.582)
      (18, 54, 48.812)
      (19,  9,  1.038)
      (19, 21, 74.094)
      (21, 52,  7.132)
      (21, 56, 92.073)
      (21, 81, 22.347)
      (22,  8, 14.758)
      (22, 17, 40.912)
      (22, 42, 26.453)
      (23, 41, 71.182)
      (23, 50, 85.763)
      (23, 99, 69.017)
      (24,  2, 66.047)
      (24,  6,  9.652)
      (24, 69, 74.168)
      (25, 55, 15.295)
      (25, 100, 99.041)
      (26, 101, 26.329)
      (27, 20, 40.009)
      (27, 50, 81.665)
      (27, 69, 84.423)
      (27, 70,  3.834)
      (27, 85, 45.793)
      (28, 59, 51.749)
      (28, 66, 72.596)
      (28, 68, 45.376)
      (29,  3, 23.651)
      (29, 15, 83.355)
      (29, 46, 70.283)
      (29, 71, 48.143)
      (29, 102, 82.879)
      (30, 10, 21.828)
      (30, 25, 83.425)
      (31,  5, 91.814)
      (31, 51, 60.084)
      (31, 55, 78.193)
      (31, 94, 97.246)
      (32, 22,  7.469)
      (32, 41,  6.515)
      (32, 57, 47.102)
      (32, 71, 55.312)
      (32, 86, 93.562)
      (33,  8, 26.771)
      (33, 12, 72.907)
      (33, 62, 31.548)
      (33, 77, 44.475)
      (33, 87,  8.460)
      (34, 29, 25.411)
      (34, 63, 24.541)
      (34, 102, 21.490)
      (35, 40, 73.896)
      (35, 55, 98.807)
      (35, 59, 21.719)
      (35, 67, 63.892)
      (35, 90, 34.537)
      (36, 66,  0.331)
      (36, 74, 26.128)
      (36, 78, 96.784)
      (37, 15, 62.145)
      (38,  7, 71.227)
      (38,  8, 61.567)
      (38, 51, 81.702)
      (39, 46, 31.495)
      (39, 78, 82.744)
      (40,  8, 36.335)
      (40, 97, 53.287)
      (41,  4, 92.578)
      (41, 34,  0.193)
      (41, 95, 56.379)
      (42, 13,  8.490)
      (42, 22, 83.879)
      (42, 48, 75.297)
      (42, 63, 55.960)
      (42, 66, 89.625)
      (43, 14, 77.063)
      (43, 27, 94.306)
      (43, 95, 81.347)
      (43, 103, 55.934)
      (44,  2, 45.431)
      (44,  5,  4.352)
      (44, 16, 19.075)
      (44, 94, 96.220)
      (45, 15, 26.999)
      (46,  0, 77.125)
      (46, 10, 69.131)
      (46, 31, 65.860)
      (46, 32, 35.394)
      (47, 21, 59.040)
      (47, 88, 17.542)
      (47, 93, 54.343)
      (48, 38, 13.248)
      (48, 86, 28.337)
      (49,  8, 20.638)
      (49, 81, 28.169)
      (49, 82, 88.725)
      (50,  1, 20.328)
      (50, 14, 58.142)
      (50, 57, 93.952)
      (50, 61, 80.671)
      (50, 69, 51.083)
      (51, 14,  2.775)
      (51, 21,  6.950)
      (51, 93, 15.808)
      (51, 102, 23.850)
      (53, 44, 83.002)
      (53, 61,  8.613)
      (54,  9, 31.083)
      (54, 38, 30.033)
      (54, 59, 92.937)
      (54, 78,  4.637)
      (55,  7, 97.613)
      (55, 34, 61.682)
      (55, 69, 22.745)
      (55, 104, 61.660)
      (56, 25, 99.764)
      (56, 99, 84.362)
      (57, 17, 62.745)
      (57, 21, 96.719)
      (58, 54, 33.354)
      (59, 11, 91.733)
      (59, 80, 17.580)
      (59, 86, 11.237)
      (59, 95, 13.181)
      (60, 29, 83.084)
      (60, 58, 84.866)
      (60, 90, 19.929)
      (61, 53, 95.852)
      (61, 89, 87.633)
      (62, 95, 27.534)
      (62, 100, 51.839)
      (64, 83, 59.009)
      (65, 14, 62.909)
      (65, 90, 86.750)
      (65, 101, 71.524)
      (66, 20, 88.712)
      (66, 104, 37.772)
      (67,  8, 77.628)
      (68, 93, 17.746)
      (69, 17, 35.962)
      (69, 76, 86.576)
      (70,  7, 95.252)
      (70, 99, 75.998)
      (71,  4, 83.104)
      (71, 30, 55.329)
      (71, 31,  4.722)
      (71, 55, 18.473)
      (71, 69, 60.785)
      (72, 77, 20.903)
      (72, 89, 24.506)
      (74,  2, 94.532)
      (74, 22,  4.193)
      (74, 49, 29.403)
      (75, 95, 16.260)
      (76, 81, 71.157)
      (77, 21,  8.623)
      (77, 55, 10.597)
      (77, 98, 88.213)
      (78,  3, 85.202)
      (78, 49, 25.750)
      (78, 80, 77.877)
      (78, 88, 84.013)
      (79,  8, 43.476)
      (79, 29, 55.195)
      (79, 81, 46.942)
      (80, 38, 29.561)
      (80, 73, 63.882)
      (80, 83, 68.273)
      (80, 84, 30.383)
      (80, 88, 93.583)
      (81, 43, 79.446)
      (82, 34, 13.222)
      (82, 76, 41.852)
      (82, 88, 54.479)
      (83, 20, 11.145)
      (83, 29, 32.648)
      (83, 50, 36.443)
      (83, 78,  2.447)
      (84,  2, 97.084)
      (84, 50, 77.681)
      (84, 71, 30.171)
      (84, 77, 63.351)
      (85,  4, 94.706)
      (85, 70, 76.625)
      (86, 94, 26.313)
      (86, 99, 71.443)
      (87, 65, 62.697)
      (87, 76, 68.337)
      (87, 86, 31.838)
      (88, 85, 47.457)
      (88, 86, 26.139)
      (89, 38,  2.537)
      (89, 75, 53.259)
      (89, 88, 66.404)
      (89, 90, 57.018)
      (90, 12, 69.812)
      (90, 26, 36.590)
      (90, 57, 65.230)
      (91,  9, 18.885)
      (91, 25, 83.020)
      (91, 72, 13.581)
      (91, 94, 81.763)
      (91, 100, 38.815)
      (92, 10, 77.303)
      (92, 79, 10.322)
      (93,  8, 41.382)
      (93, 19, 54.003)
      (93, 103, 82.988)
      (94, 17, 84.961)
      (94, 31, 90.075)
      (95, 14, 48.911)
      (95, 29, 53.971)
      (95, 63,  5.939)
      (95, 82, 39.217)
      (95, 93, 51.309)
      (96,  7, 50.184)
      (96, 24, 31.045)
      (96, 48, 94.353)
      (97, 43, 18.938)
      (97, 55, 59.274)
      (98, 23, 53.487)
      (98, 100,  1.321)
      (99, 23, 15.977)
      (99, 45, 20.532)
      (99, 46, 76.281)
      (99, 62, 23.725)
      (99, 68, 28.268)
      (99, 83, 51.664)
      (99, 90, 40.409)
      (99, 103, 26.781)
      (100, 23, 42.072)
      (100, 95, 65.316)
      (101, 14, 25.462)
      (101, 41, 90.674)
      (101, 51, 53.615)
      (101, 72,  3.049)
      (102, 63,  0.369)
      (102, 87, 84.257)
      (102, 99, 44.870)
      (103,  3,  0.472)
      (103, 24, 97.317)
      (104, 92, 21.499) }
------------------------- 

** G6: |V|=105, V={0,1,...104}
(u, v, weight) E = { 
      ( 0, 16, 14.024)
      ( 0, 28, 23.209)
      ( 0, 40, 39.744)
      ( 0, 59, 77.947)
      ( 0, 93, 19.227)
      ( 1, 40, 52.122)
      ( 1, 66, 30.183)
      ( 2, 10, 89.808)
      ( 2, 13, 95.731)
      ( 2, 74, 79.102)
      ( 3,  6, 78.641)
      ( 3,  9, 24.526)
      ( 3, 71, 46.279)
      ( 3, 87, 41.346)
      ( 3, 94, 33.892)
      ( 4, 44, 16.089)
      ( 4, 50, 39.181)
      ( 4, 104, 77.240)
      ( 5,  7, 77.757)
      ( 5, 72, 41.385)
      ( 6, 30, 47.815)
      ( 6, 72,  1.018)
      ( 7, 37, 54.171)
      ( 7, 48, 18.097)
      ( 7, 49, 12.363)
      ( 8,  6, 12.677)
      ( 8, 76, 55.332)
      ( 9, 75, 45.407)
      ( 9, 96, 61.459)
      ( 9, 100, 38.899)
      (10, 41, 67.007)
      (10, 57,  2.110)
      (11, 16, 65.813)
      (11, 63, 43.344)
      (11, 94, 23.482)
      (12,  6, 23.129)
      (12, 64, 64.117)
      (13, 54, 66.581)
      (13, 72, 23.015)
      (14, 73, 57.712)
      (15, 83, 87.126)
      (16,  6, 70.609)
      (16, 17, 32.340)
      (17, 30, 84.746)
      (17, 53, 99.934)
      (17, 73, 67.567)
      (17, 84, 28.333)
      (18, 38, 82.456)
      (18, 53, 18.795)
      (19, 10, 52.333)
      (19, 39, 34.431)
      (19, 70, 22.332)
      (19, 95, 61.406)
      (20, 30, 77.602)
      (20, 38, 67.403)
      (20, 45, 74.676)
      (20, 75, 34.861)
      (20, 80, 12.545)
      (20, 100, 39.668)
      (21, 24, 90.022)
      (21, 39, 51.668)
      (21, 102, 31.084)
      (22,  6, 28.912)
      (22, 40, 67.391)
      (22, 60,  6.347)
      (22, 92, 98.693)
      (22, 94, 39.775)
      (22, 96, 78.407)
      (23, 20, 33.386)
      (24, 45, 35.701)
      (24, 54,  1.324)
      (24, 103, 40.845)
      (25, 49, 78.538)
      (26, 16, 45.379)
      (26, 29, 31.237)
      (26, 36, 96.523)
      (27,  5, 37.012)
      (27, 24, 74.565)
      (27, 33, 23.137)
      (27, 95, 65.137)
      (28, 58,  6.401)
      (29,  8, 64.101)
      (29, 33, 14.467)
      (29, 48, 17.183)
      (29, 63, 52.328)
      (30,  5, 98.654)
      (30, 32, 29.566)
      (30, 53, 47.676)
      (30, 76,  6.717)
      (30, 77, 90.628)
      (30, 80, 28.954)
      (30, 103, 57.872)
      (31, 79, 30.779)
      (32,  3,  4.394)
      (32, 23, 78.531)
      (32, 100, 31.453)
      (33, 39, 24.428)
      (33, 88, 91.248)
      (34, 83, 37.636)
      (34, 99, 64.696)
      (34, 102, 79.339)
      (35, 84,  6.195)
      (35, 85, 11.086)
      (36,  1, 70.465)
      (36,  4, 91.073)
      (36, 71, 36.720)
      (37, 13, 32.072)
      (37, 20, 41.967)
      (38, 33, 13.128)
      (38, 40, 86.253)
      (38, 45, 70.111)
      (38, 58, 99.466)
      (38, 67,  8.680)
      (38, 75, 71.120)
      (38, 85, 50.734)
      (38, 87, 43.842)
      (38, 97,  6.482)
      (39, 21,  6.025)
      (39, 41, 48.197)
      (39, 89, 46.263)
      (40, 12, 23.619)
      (40, 14, 94.608)
      (40, 61, 40.045)
      (40, 63, 71.897)
      (40, 72, 59.608)
      (40, 84, 67.809)
      (40, 90, 39.469)
      (41, 91, 44.263)
      (42,  6, 15.617)
      (42, 28, 40.423)
      (42, 36, 75.518)
      (42, 38, 89.048)
      (43,  7, 76.254)
      (44, 72, 98.607)
      (45, 54, 54.062)
      (45, 73, 10.483)
      (46, 53, 44.878)
      (47, 18, 38.883)
      (47, 67,  8.972)
      (47, 97, 35.111)
      (48, 21, 57.435)
      (48, 44, 16.232)
      (48, 46,  7.594)
      (49, 19, 75.218)
      (49, 65, 38.716)
      (49, 71, 82.729)
      (50, 34, 90.871)
      (50, 63, 35.689)
      (51, 42, 15.382)
      (51, 48, 34.321)
      (51, 65,  1.885)
      (52, 13, 53.828)
      (52, 83, 97.241)
      (52, 93, 88.300)
      (54, 35, 13.570)
      (54, 42, 48.987)
      (54, 58, 56.417)
      (54, 97, 75.137)
      (55,  8, 75.705)
      (55, 41, 54.979)
      (55, 65,  2.851)
      (55, 103, 51.022)
      (56, 14, 25.651)
      (56, 33, 85.310)
      (56, 34, 22.621)
      (56, 62,  9.345)
      (56, 63, 26.555)
      (57, 18, 16.005)
      (57, 52, 77.641)
      (58, 62, 28.958)
      (58, 86, 27.905)
      (58, 96, 44.844)
      (59, 22, 27.956)
      (60, 12, 75.642)
      (60, 37, 17.539)
      (60, 42, 96.647)
      (61, 62, 78.294)
      (61, 87,  7.439)
      (62,  0,  3.838)
      (62, 27, 76.502)
      (63, 53, 90.238)
      (63, 81, 89.815)
      (64, 24, 73.191)
      (64, 50, 80.369)
      (64, 84, 58.003)
      (64, 95, 48.332)
      (65, 73, 45.115)
      (66,  1,  5.382)
      (66,  4,  9.761)
      (66, 46, 94.908)
      (66, 59, 92.874)
      (67,  2, 14.305)
      (67, 11, 40.196)
      (67, 13, 75.298)
      (67, 54, 33.688)
      (67, 74, 31.259)
      (67, 84, 14.012)
      (69, 28, 23.803)
      (69, 52, 32.170)
      (71, 13, 36.776)
      (71, 28,  0.287)
      (71, 65, 87.222)
      (71, 74,  4.596)
      (71, 94, 64.249)
      (71, 102, 79.508)
      (72, 29, 51.941)
      (72, 35, 36.873)
      (72, 49, 68.411)
      (72, 69, 37.841)
      (73, 70, 69.124)
      (73, 75, 44.622)
      (73, 83, 31.425)
      (74, 26, 34.732)
      (74, 28, 21.166)
      (75, 59, 32.315)
      (75, 62,  7.351)
      (75, 88, 79.547)
      (76, 61,  6.459)
      (76, 64, 83.126)
      (76, 95, 68.849)
      (77, 57, 49.155)
      (78, 31, 92.154)
      (78, 32, 83.135)
      (78, 33, 15.395)
      (78, 48, 74.341)
      (78, 57,  2.010)
      (79, 24, 19.259)
      (79, 57, 39.732)
      (79, 59,  1.159)
      (80, 22, 37.644)
      (80, 42, 40.586)
      (80, 68, 49.745)
      (81,  3, 24.271)
      (81, 33, 24.046)
      (82,  8, 96.422)
      (82, 34, 19.584)
      (82, 97, 64.387)
      (82, 101, 24.177)
      (83,  0, 55.336)
      (83,  2,  9.443)
      (83,  3, 65.153)
      (83,  4, 62.161)
      (83, 70,  4.706)
      (84, 54, 72.017)
      (84, 88, 25.092)
      (85, 16, 27.402)
      (85, 43,  3.926)
      (85, 68, 66.032)
      (86, 44, 97.426)
      (86, 90, 27.271)
      (87, 25, 66.969)
      (87, 68, 47.568)
      (87, 76, 60.189)
      (88, 76, 55.870)
      (88, 104, 20.194)
      (89,  0, 59.752)
      (89, 82, 36.288)
      (90, 89, 59.886)
      (91, 32,  6.153)
      (92, 103, 37.288)
      (93, 43, 37.050)
      (93, 44, 90.176)
      (93, 76, 88.633)
      (93, 98, 80.456)
      (94, 36, 13.259)
      (94, 70, 34.527)
      (94, 93, 91.037)
      (94, 99, 52.656)
      (95,  5, 81.010)
      (96, 40, 40.602)
      (96, 44, 95.132)
      (96, 48, 32.102)
      (96, 71, 31.390)
      (97, 12, 91.646)
      (97, 45, 86.383)
      (97, 77, 12.764)
      (99, 10, 10.069)
      (99, 17, 87.584)
      (99, 20, 35.867)
      (99, 60, 25.100)
      (99, 96, 23.682)
      (100, 41, 28.100)
      (100, 49, 62.868)
      (100, 50, 98.360)
      (100, 75,  7.770)
      (100, 92, 76.950)
      (101, 54, 98.564)
      (101, 84,  2.504)
      (103, 71, 93.435)
      (103, 89, 35.031)
      (104, 16, 20.106)
      (104, 24, 99.280) }
------------------------- 

** G7: |V|=155, V={0,1,...154}
(u, v, weight) E = { 
      ( 0,  5, 25.170)
      ( 0, 25, 76.345)
      ( 0, 100, 29.059)
      ( 1, 27, 17.633)
      ( 1, 79,  3.088)
      ( 1, 83, 29.202)
      ( 1, 88, 46.818)
      ( 2, 46, 12.134)
      ( 2, 56, 91.386)
      ( 2, 84, 17.153)
      ( 2, 114, 47.180)
      ( 2, 118, 36.029)
      ( 2, 139, 36.656)
      ( 3, 14, 51.829)
      ( 3, 51, 27.619)
      ( 3, 63, 77.772)
      ( 3, 66, 55.981)
      ( 3, 68, 34.091)
      ( 3, 89, 84.670)
      ( 3, 132, 95.417)
      ( 4, 58, 45.043)
      ( 4, 75, 16.023)
      ( 4, 126,  3.164)
      ( 4, 152, 18.421)
      ( 5, 58, 33.256)
      ( 5, 59, 51.703)
      ( 5, 76, 91.372)
      ( 5, 95, 58.478)
      ( 6, 16, 48.515)
      ( 6, 25, 37.997)
      ( 6, 39, 25.015)
      ( 6, 40, 95.127)
      ( 6, 43, 17.918)
      ( 6, 48, 45.544)
      ( 6, 79, 31.944)
      ( 6, 84, 26.603)
      ( 7, 146, 21.619)
      ( 7, 147, 15.476)
      ( 8, 50, 23.575)
      ( 8, 62, 43.774)
      ( 9, 13, 53.441)
      ( 9, 19, 80.722)
      ( 9, 109, 97.695)
      (10,  4, 82.775)
      (10,  9, 89.034)
      (10, 60, 38.811)
      (10, 66, 47.920)
      (10, 146, 47.171)
      (11, 17, 10.280)
      (11, 109, 15.574)
      (11, 139, 58.652)
      (11, 141, 21.662)
      (12, 13, 19.558)
      (12, 19, 48.843)
      (12, 24, 71.649)
      (12, 51, 56.402)
      (12, 119, 91.905)
      (12, 154, 30.524)
      (13, 11, 81.022)
      (13, 39, 71.511)
      (13, 64, 94.499)
      (13, 98, 85.460)
      (13, 140, 96.952)
      (14, 110, 94.415)
      (14, 124, 82.570)
      (14, 147,  8.684)
      (15, 72, 74.131)
      (15, 95, 11.016)
      (15, 135, 30.900)
      (16,  8, 59.592)
      (16, 38, 48.829)
      (16, 52, 19.567)
      (16, 134, 55.067)
      (17,  7, 76.646)
      (17, 77, 20.297)
      (17, 78, 63.311)
      (17, 102,  8.024)
      (17, 105, 12.483)
      (17, 124, 35.680)
      (18, 27,  9.434)
      (18, 85, 99.840)
      (18, 134,  1.320)
      (19, 53, 91.912)
      (19, 129, 18.255)
      (19, 136, 27.485)
      (19, 145, 12.826)
      (20, 64, 72.684)
      (20, 91, 74.310)
      (20, 109, 82.128)
      (21, 13, 68.324)
      (21, 24, 53.800)
      (21, 90, 82.707)
      (21, 123, 30.076)
      (21, 138,  8.278)
      (22, 26, 56.676)
      (22, 64, 35.359)
      (22, 69, 30.245)
      (22, 148, 14.959)
      (23, 45, 50.763)
      (23, 49,  4.334)
      (23, 56, 54.871)
      (23, 66, 52.321)
      (24, 28, 65.822)
      (24, 42, 53.067)
      (24, 51, 86.868)
      (24, 83,  9.374)
      (25,  3, 66.076)
      (25, 24, 26.709)
      (25, 41, 94.947)
      (25, 98, 33.785)
      (25, 123, 37.381)
      (26,  2, 93.814)
      (26, 14,  0.113)
      (26, 73, 92.504)
      (26, 86, 90.778)
      (27, 37, 77.099)
      (27, 44, 61.443)
      (27, 46, 37.233)
      (27, 54, 70.367)
      (27, 65, 26.529)
      (27, 92, 74.651)
      (27, 118, 37.443)
      (27, 141,  9.899)
      (28, 46, 46.906)
      (28, 116, 52.075)
      (28, 132, 19.444)
      (28, 141, 94.574)
      (29, 56, 81.930)
      (29, 61, 46.200)
      (30, 44, 76.694)
      (30, 108,  0.264)
      (31, 52,  5.037)
      (31, 63, 21.586)
      (31, 73, 57.789)
      (31, 121, 70.300)
      (32, 39, 57.756)
      (32, 43, 49.358)
      (32, 90, 95.128)
      (32, 91, 40.195)
      (33,  4, 31.881)
      (33,  7, 65.365)
      (33, 13,  7.516)
      (33, 36, 90.772)
      (33, 58,  0.813)
      (33, 60, 47.911)
      (33, 87, 92.944)
      (33, 129,  0.987)
      (33, 131, 75.691)
      (33, 135, 78.452)
      (34, 111, 78.264)
      (35, 14, 83.925)
      (35, 34, 87.843)
      (35, 38, 74.665)
      (35, 112,  1.433)
      (36, 26, 29.488)
      (36, 47, 96.575)
      (36, 63, 38.694)
      (37,  0, 78.587)
      (37,  6, 85.080)
      (37, 84, 90.311)
      (37, 89, 66.302)
      (37, 138, 92.738)
      (38, 89, 22.354)
      (38, 93, 26.698)
      (38, 97, 91.339)
      (38, 144, 25.979)
      (39, 33,  4.807)
      (39, 103, 40.287)
      (39, 105, 99.282)
      (39, 117, 80.301)
      (39, 142, 27.053)
      (40, 32, 88.493)
      (40, 36, 88.851)
      (40, 50, 29.816)
      (40, 116, 40.712)
      (40, 149, 82.536)
      (41, 66, 36.042)
      (41, 139, 46.747)
      (42, 36, 43.116)
      (42, 96, 88.840)
      (42, 130, 16.747)
      (43,  0, 61.163)
      (43, 28, 18.422)
      (43, 63, 26.630)
      (43, 116, 67.574)
      (43, 127, 35.284)
      (43, 144, 80.152)
      (44, 66, 63.348)
      (44, 71, 33.764)
      (44, 137,  1.010)
      (44, 139,  2.475)
      (45, 54,  2.232)
      (45, 69, 86.754)
      (45, 95, 45.373)
      (45, 137, 35.582)
      (46, 21, 59.111)
      (46, 43, 94.066)
      (46, 65, 54.088)
      (46, 72, 99.255)
      (46, 109, 12.055)
      (46, 140, 80.496)
      (46, 143, 64.726)
      (47, 19, 64.908)
      (47, 28, 35.005)
      (47, 116, 52.806)
      (48, 65, 45.348)
      (49, 19, 83.164)
      (49, 25, 39.534)
      (49, 68, 86.094)
      (49, 113, 95.369)
      (49, 115,  2.599)
      (49, 145,  5.252)
      (50, 11, 19.422)
      (50, 55, 50.412)
      (50, 58, 52.970)
      (50, 70, 31.098)
      (51, 18, 11.894)
      (51, 145, 30.794)
      (52, 26, 55.021)
      (52, 63, 97.044)
      (52, 64, 38.812)
      (52, 102, 35.626)
      (52, 118, 54.114)
      (52, 130,  3.043)
      (53, 88, 76.301)
      (53, 117, 80.503)
      (53, 135, 78.701)
      (54, 33, 98.310)
      (54, 41, 98.919)
      (54, 53, 45.685)
      (54, 61, 60.320)
      (54, 90, 44.362)
      (54, 105, 91.723)
      (54, 125, 51.291)
      (54, 144, 77.475)
      (54, 146, 41.732)
      (55, 19, 30.704)
      (55, 36, 11.566)
      (55, 84, 27.186)
      (55, 90, 95.738)
      (56,  3, 36.995)
      (56, 52,  2.599)
      (56, 71, 76.451)
      (56, 74, 99.919)
      (56, 100, 23.246)
      (56, 112, 78.870)
      (56, 139, 34.006)
      (57, 30, 23.017)
      (57, 49, 46.734)
      (57, 71,  5.971)
      (57, 148, 19.684)
      (58,  5, 13.706)
      (58, 39, 61.217)
      (58, 54, 84.806)
      (58, 107, 49.366)
      (58, 149,  7.593)
      (59, 10, 87.498)
      (59, 17,  4.478)
      (59, 116, 52.226)
      (60, 46, 52.858)
      (60, 69, 33.341)
      (61, 37, 85.761)
      (61, 50, 42.711)
      (61, 67, 61.694)
